role_id,membership_id,user_id,effective_start_date,effective_end_date
3654,142,1317,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
5475,143,1317,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
5871,144,1317,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
5359,145,1317,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2392,146,1317,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3935,147,1317,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
4235,148,1317,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
1145,149,1317,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
771,150,1317,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
928,151,1317,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2511,152,1317,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3247,156,38,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
407,165,1430,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3456,168,1603,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3456,171,1785,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2097,174,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
5470,175,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
4514,176,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2274,177,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
5374,178,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2381,179,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
5605,180,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3868,181,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
5834,182,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2557,183,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
6067,184,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
1360,185,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
4699,187,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
1721,191,1553,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
1721,198,19,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
5780,205,1793,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
644,206,1793,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3935,207,1793,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3456,212,1519,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3456,224,1486,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2495,233,106,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3456,244,1737,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2355,246,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
516,247,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
4500,248,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3736,249,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
4069,254,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
4742,256,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
4444,264,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2807,272,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
782,275,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
1617,276,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2364,277,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2785,278,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
5703,279,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
962,281,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2782,290,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2625,291,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3917,293,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
5901,294,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
4146,298,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
1686,299,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
896,300,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
833,301,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
1163,302,176,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
644,303,176,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3935,304,176,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3375,305,176,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
6112,309,600,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
431,310,1562,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3114,312,1269,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2495,313,955,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
5605,315,1297,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3456,316,1297,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
6067,317,1297,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
4514,318,1297,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3375,319,1297,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2495,322,180,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
4944,323,180,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3114,325,1801,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2495,326,450,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
5891,327,450,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2495,329,1766,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
1721,335,910,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
5293,342,202,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
1721,1,1807,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3456,8,239,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
644,10,160,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3375,11,160,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
4722,12,160,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
6231,13,1184,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
5643,14,1184,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2099,16,606,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3468,17,606,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3060,18,606,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
1145,20,606,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
1492,21,606,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
6112,23,606,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3456,24,343,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
58,27,201,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3505,28,201,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3456,34,1707,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
1657,46,1533,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3531,47,1533,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2495,52,1533,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
300000139131202,9124,606,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
300000139131230,3702,606,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
300000139127170,4660,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
300000139135010,5831,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
